Pedido;Codigo do Cliente;Cliente;Codigo Vendedor;Vendedor;Linha;Codigo Produto;Nome Produto;Categoria;Quantidade;Preco Unitario;Percentual Desconto;Valor de venda;Venda Total;Salario total
10248;4;Carl Montgomery;2;Erik Presley;1;42;Walking Shoes;Cal�ado Feminino;10;14,04;0;140,4;10859942,96;1003000
10290;1;Albert von Einstein;7;Tom Lindwall;1;77;Wrap Skirt;Roupa Feminina;10;13,49;0;134,9;;
10301;37;Robert Bolero;9;Helen Brolin;1;40;Duck Trousers;Beb�s;10;18,33;0;183,3;;
10321;38;Al Yankovic;3;Rob Carsson;1;35;LA. Shorts;Praia;10;5,43;0;54,3;;
10334;84;Pierre Robert;5;Ingrid Hendrix;1;68;Cap;Esportivo;10;12,74;0;127,4;;
10386;21;Romario do Sauza;2;Erik Presley;1;34;Baywatch Swimsuit;Praia;10;8,48;0;84,8;;
10599;11;David Foot;9;Helen Brolin;1;62;Lace Shoes;Esportivo;10;30,51;0;305,1;;
10624;19;Greg Thatcher;3;Rob Carsson;1;44;Okkaba Skin Jackets;Roupa Feminina;10;82,54;0;825,4;;
10662;48;Andrea Pamelsson;1;Frank Roll;1;68;Cap;Esportivo;10;12,91;0;129,1;;
10665;48;Andrea Pamelsson;1;Frank Roll;1;76;Halter Dress;Roupa Feminina;10;361,05;0;3610,5;;
10666;68;Carl Perry;6;Lennart Skoglund;1;65;Stretch Pants;Roupa Feminina;10;11,04;0;110,4;;
10709;31;Anna Figo;3;Rob Carsson;1;60;Game Over T-Shirt;Esportivo;10;4,91;0;49,1;;
10759;2;Paco el Maco;2;Erik Presley;1;32;Riviera Swimsuit;Praia;10;19,85;0;198,5;;
10778;5;Urra Gurra Aktersnurra;9;Helen Brolin;1;41;Duck Shirt;Beb�s;10;9,06;0;90,6;;
10785;33;Antonio Palmer Amer;9;Helen Brolin;1;10;Sapporoo Gloves;Beb�s;10;6,42;0;64,2;;
10798;38;Al Yankovic;9;Helen Brolin;1;72;Oyaki Kimono;Roupa Feminina;10;11,8;0;118;;
10805;23;Jaques Wilneuve;6;Lennart Skoglund;1;34;Baywatch Swimsuit;Praia;10;7,7;0;77;;
10829;38;Al Yankovic;9;Helen Brolin;1;13;Aino Shoes;Beb�s;10;26,43;0;264,3;;
10853;6;Herman Hinschler;8;Leif Shine;1;18;Deuce Shirt;Beb�s;10;25,52;0;255,2;;
10858;40;Philippe de Laval;5;Ingrid Hendrix;1;27;Tracksuit;Esportivo;10;43,35;0;433,5;;
10874;88;Mariah Erdi;2;Erik Presley;1;10;Sapporoo Gloves;Beb�s;10;6,6;0;66;;
10881;12;Victoria Abril;3;Rob Carsson;1;73;Mehmet-Napp;Beb�s;10;1,19;0;11,9;;
10890;18;Pierre Chardin;6;Lennart Skoglund;1;34;Baywatch Swimsuit;Praia;10;8,03;0;80,3;;
10915;80;Peloto Gomez;1;Frank Roll;1;17;TieBreak Tennis shoes;Cal�ado Masculino;10;27,45;0;274,5;;
10917;69;Emilio Ilegal;5;Ingrid Hendrix;1;60;Game Over T-Shirt;Esportivo;10;4,69;0;46,9;;
10945;32;Ross The Boss;1;Frank Roll;1;31;Rossi Bermuda Shorts;Roupa Masculina;10;7,9;0;79;;
10974;75;Paul Smith;1;Frank Roll;1;63;Serve-Shirt;Roupa Feminina;10;20,74;0;207,4;;
11007;60;Leopoldo Samba;4;Joan Callins;1;29;Davenport Shoes;Cal�ado Masculino;10;134,41;0;1344,1;;
11010;66;Anna Bella;6;Lennart Skoglund;1;24;Samba Soccer Socks;Roupa Masculina;10;4,47;0;44,7;;
11035;76;Cheril Cow;5;Ingrid Hendrix;1;1;Lenin Jeansshorts;Roupa Masculina;10;19,55;0;195,5;;
11043;19;Greg Thatcher;9;Helen Brolin;1;11;Desperado Jeans;Roupa Masculina;10;28,28;0;282,8;;
11054;12;Victoria Abril;9;Helen Brolin;1;33;Casual Boots;Esportivo;10;23,84;0;238,4;;
11073;58;Francisca Font Barcel�;8;Leif Shine;1;11;Desperado Jeans;Roupa Masculina;10;28,93;0;289,3;;
11132;23;Jaques Wilneuve;6;Lennart Skoglund;1;37;Mehmet-Skor;Beb�s;10;4,602497889;0;46,02497889;;
11303;45;Vincent Vega;1;Frank Roll;1;15;Sumi Underwear;Roupa Feminina;10;7,636226202;0;76,36226202;;
11308;4;Carl Montgomery;2;Erik Presley;1;42;Walking Shoes;Cal�ado Feminino;10;12,32350841;0;123,2350841;;
11310;34;Joe do Pintho;2;Erik Presley;1;41;Duck Shirt;Beb�s;10;10,6259424;0;106,259424;;
11366;69;Emilio Ilegal;5;Ingrid Hendrix;1;30;Baby Dark Lounge Suit;Beb�s;10;32,94408153;0;329,4408153;;
11381;38;Al Yankovic;3;Rob Carsson;1;35;LA. Shorts;Praia;10;6,459203312;0;64,59203312;;
11498;48;Andrea Pamelsson;1;Frank Roll;1;68;Cap;Esportivo;10;15,13753525;0;151,3753525;;
11545;31;Anna Figo;3;Rob Carsson;1;60;Game Over T-Shirt;Esportivo;10;4,260268408;0;42,60268408;;
11595;2;Paco el Maco;2;Erik Presley;1;32;Riviera Swimsuit;Praia;10;23,95192551;0;239,5192551;;
